District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,11,AR NAGAR BAZAR,ASHKAR ALI,IND,OTH,339,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,10,CHENDAPURAYA EAST,E.VASU ,IND,OTH,443,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,12,CHENDAPURAYA WEST,N V NAFEESA TEACHER,INC,UDF,446,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,6,CHEPPIYALAM,KUNHEEVI,IUML,UDF,728,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,15,IRUMBUCHOLA,KUNJI MOHAMMED PULLISHERI,IUML,UDF,586,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,8,KAKKADAMPURAM,YOOSAF,IUML,UDF,554,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,9,KODAKKALLU,KALLIYATH RUKHIYA TEACHER,IUML,UDF,529,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,17,KOLAPPURAM CENTRE,IBRAHIM KUTTY KOLKKATTIL,INC,UDF,485,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,16,KOLAPPURAM NORTH,SHAILAJA PUNATHIL,INC,UDF,378,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,18,KOLAPPURAM SOUTH,KALLAN MOHAMMED RIYAS ,INC,UDF,803,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,3,KOTTAMCHAL,ELCY PRATHEEP KUMAR,IUML,UDF,637,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,7,KUNNUMPURAM,JAMSHEENA IQBAL,IND,OTH,553,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,19,MAMBURAM,SAMEEL KOLAKKATTIL,IND,OTH,534,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,5,PALAMADATHIL CHINA,MATRA KAMMUNNI HAJI,IUML,UDF,772,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,21,PALANTHARA,LIYAKATH ALI KAVUNGL,IUML,UDF,590,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,2,PUKAYUR,MYMOONATH MUKHAMVEETTIL,IUML,UDF,638,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,4,PUTHIYATHPURAYA,P.ANITHA,IND,OTH,495,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,13,ULLATTUPARAMBA,RASEENA,IND,OTH,418,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,14,V K PADI,SUBAIDA,IUML,UDF,545,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,1,VALIYAPARAMBA,K.P.SAMEER ,IND,OTH,627,2015
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,20,VETTATHUBAZAR,SUHRA,IUML,UDF,652,2015
Malappuram,Grama Panchayat,G10096,Alamkode,6,ALAMKODE,P V PRADEEP ,CPI(M),LDF,520,2015
Malappuram,Grama Panchayat,G10096,Alamkode,16,CHANGARAMKULAM EAST,K M ARIS BABU,IUML,UDF,625,2015
Malappuram,Grama Panchayat,G10096,Alamkode,17,CHANGARAMKULAM WEST,ALI PARUVINGAL ,INC,UDF,342,2015
Malappuram,Grama Panchayat,G10096,Alamkode,8,CHIYANOOR,MARIYAKUTTY KABEER,IUML,UDF,592,2015
Malappuram,Grama Panchayat,G10096,Alamkode,2,KAKKIDIKKAL,SABITHA ANIL,IUML,UDF,474,2015
Malappuram,Grama Panchayat,G10096,Alamkode,3,KAKKIDIPURAM,P T SASIDHARAN,CPI(M),LDF,520,2015
Malappuram,Grama Panchayat,G10096,Alamkode,1,KALACHAL,SAJITHA RASHEED,INC,UDF,522,2015
Malappuram,Grama Panchayat,G10096,Alamkode,14,KIZHIKKARA,ASIYA IBRAHIM,IUML,UDF,483,2015
Malappuram,Grama Panchayat,G10096,Alamkode,10,KOKKOOR,M K MOHAMMED ANVAR,IUML,UDF,696,2015
Malappuram,Grama Panchayat,G10096,Alamkode,9,KOKKOOR NORTH,AMBIKA TEACHER ,INC,UDF,584,2015
