District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Kottayam,Grama Panchayat,G05043,Akalakkunnam,9,CHENGALAM,JOSE ANTONY,INC,UDF,311,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,5,EDAMULA,JIJI JOSE,INC,UDF,428,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,7,KANJIRAMATTOM,SUNIJA RAJU,IND,OTH,389,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,4,KARIMBANI,SUNNI ABRAHAM,INC,UDF,472,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,8,KDAKUZHI,SHERLY SALJU,KCM,UDF,320,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,15,MANAL,MATHEW MEEMPUZHACKAL,INC,UDF,276,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,13,MANJAMATTOM,TONY ABRAHAM,IND,OTH,259,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,14,MATTAKKARA,SHALI BENNY VADAKKEDAM,KCM,UDF,437,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,11,MATTAPALLY,AJITHA JOMON,KCM,UDF,436,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,12,MUZHOOR,SHAJI BHASKAR,CPI(M),LDF,353,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,2,NELLIKUNNU,ANILKUMAR B,CPI(M),LDF,466,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,1,PATTYALIMATTAM,SAJITHA AJI,CPI(M),LDF,399,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,6,POOVATHILAPPU,BABY THOMAS,KCM,UDF,454,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,3,THACHILANGADU,GIRIJA RAJAN,CPI(M),LDF,412,2015
Kottayam,Grama Panchayat,G05043,Akalakkunnam,10,THEKKUMTHALA,KRISHNAKUMARI RAJASEKHARAN  (OTTAPLACKAL),IND,OTH,557,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,10,ANGADI,DEEPA JOSE ,INC,UDF,327,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,16,ARYATTOOZHAM - CHALAKARI,PRAVEENKUMAR,JD(U),UDF,366,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,3,CHOORAKKAVU,JUSTIN JOSEPH ,INC,UDF,417,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,12,KARIPPA,AJITHA KUMAR,CPI,LDF,705,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,15,KARIPPOOTHATTU,P K SHAJI ,CPI(M),LDF,456,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,1,MANCHADIKKARI,JOSHY CHEEPPUNKAL MA   LLB,BJP,BJP+,447,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,2,MANIYAPARAMBU,MOHAN C CHATHURACHIRA ,INC,UDF,418,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,9,MEDICAL COLLEGE,ELSAMMA  VELASSERIL,KCM,UDF,282,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,7,NEREKADAVU,SHINY LUKOSE,IND,OTH,475,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,11,PANAMPALAM,ANAND PANJIKKARAN ,INC,UDF,441,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,13,PERUMPADAPPU,JAMES THITTALAYIL,KCM,UDF,359,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,4,PINANCHARAKKUZHI,BEENA RAJENDRAN ,INC,UDF,328,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,14,PULIKKUTTISSERY,SANDHYA SREEKANTH ,INC,UDF,376,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,6,THONNAMKUZHI,ASHA PRABHATH ,CPI(M),LDF,368,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,8,VARYAMUTTAM -CHARAMKULAM,ROSILY TOMICHAN ,INC,UDF,410,2015
Kottayam,Grama Panchayat,G05016,Arpookkara,5,VILLOONNI,SOBHANA VELAYUDHAN ,INC,UDF,357,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,14,AMALAGIRI,P J MATHEW PODIMATTOM,KCM,UDF,377,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,8,CENTRAL,SHABEER SHAJAHAN,IUML,UDF,341,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,16,I C H,MARYKUTTY SEBASTIAN,KCM,UDF,458,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,3,I T I,JIJI JOY,KCM,UDF,595,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,13,KANNUKULAM,ELSAMMA MATHEW,KCM,UDF,344,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,4,KATTATHI,RATHEESH RATNAKARAN,CPI(M),LDF,566,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,2,KOTTAKKUPURAM,JAISON JOSEPH OZHUKAYIL,KCM,UDF,608,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,15,KOTTARAM,ACHAMMA AUNTY,IND,OTH,390,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,20,LISSUE,PAUL JOSEPH,INC,UDF,447,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,6,MANAKKAPADOM,JOSHY ILANJIYIL,KCM,UDF,369,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,17,MANNANAM,SOUMYA VASUDEVAN,INC,UDF,539,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,18,MANNANAM EAST,P A KUTTAPPAN MASTER,IND,OTH,457,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,21,MANNRUKUNNU,LISSY TOMY KOLLAPPALIL,INC,UDF,417,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,12,MUNDAKAPADOM,THOMAS PUTHUSSERIL,INC,UDF,320,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,11,NALPATHIMALA,JOSE AMBALAKULAM,IND,OTH,436,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,5,RAILWAY STATION,SHINY JIMMY JACOB,KCM,UDF,460,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,22,SREEKANTAMANGALAM,BETTY THOMAS,INC,UDF,429,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,7,THRUKKEL,BABINAS AJAS,IND,OTH,648,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,9,TOWN,ANCE VARGHEESE,KCM,UDF,374,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,10,UNIVERSITY,SHIMI SAJI PLATHOTTAM,KCM,UDF,377,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,1,VEDAGIRI,ANNIE LUCKOSE,KCM,UDF,527,2015
Kottayam,Grama Panchayat,G05017,Athirampuzha,19,VELAMKULAM,JAYAPRAKASH(JP),CPI(M),LDF,506,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,1,ARUMANNOOR NORTH,GEETHA RADHAKRISHNAN,INC,UDF,326,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,20,ARUMANNOOR SOUTH,JOSEPH (JOSE KOTTATHIL),KCM,UDF,281,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,7,AYARKUNNAM EAST,AJITH KUNNAPPALLY,INC,UDF,357,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,4,AYARKUNNAM WEST,JOSEPH CHAMAKKALA,KCM,UDF,490,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,17,AYYANKOYICKAL,ALICE SIBY,INC,UDF,468,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,18,KANDANCHIRA,T.K ANISH,BJP,BJP+,402,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,3,KOCHUKONGADOOR,LALCY PERUNTHOTTAM,KCM,UDF,437,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,5,KONGANDOOR,MOLY THOMAS,KCM,UDF,521,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,9,METHRANCHERI,BIJU THINDYAYATHIL,IND(LDF),LDF,451,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,6,NARIVELI,AANIE JAMES PUTHUMANA,IND(LDF),LDF,382,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,19,NEERIKADU,BINOY MATHEW,INC,UDF,433,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,14,NIRAVUPADIKUNNU,JOLLY GEORGE,INC,UDF,431,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,10,POOTHIRI,CHANDRIKA SOMAN,IND,OTH,578,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,2,PUNNATHURA,ALICE RAJU PALLIKKARA,KCM,UDF,385,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,13,PUTHUPALLY KUNNU,THOMACHAN PEZHUMKATTIL,IND,OTH,439,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,15,THIRUVANCHOOR,PRAKASH N.S NJALLANGATTIL,BJP,BJP+,533,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,12,THUTHOOTTY,MONIMOL K,INC,UDF,753,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,8,THYKKOOTTAM,BIJU NARAYANAN,IND,OTH,410,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,11,VADAKKANMANNOOR,SUJATHA BIJU,INC,UDF,424,2015
Kottayam,Grama Panchayat,G05073,Ayarkunnam,16,VANNALLOOR KARA,NISA KUNJUMON,INC,UDF,407,2015
Kottayam,Grama Panchayat,G05019,Aymanam,9,AMBADI,SABITHA (SABITHA PREMJI),CPI(M),LDF,512,2015
Kottayam,Grama Panchayat,G05019,Aymanam,19,AMBALAKKADAVU,UNNIKRISHNAN NAIR (UNNIKRISHNAN MOOLAYIL),BJP,BJP+,481,2015
Kottayam,Grama Panchayat,G05019,Aymanam,13,AYMANAM,BIJI (VIJI REJIMON),IND,OTH,561,2015
Kottayam,Grama Panchayat,G05019,Aymanam,20,CHEEPUNKAL,MINIMOL (MINI BIJU KAYICHIRA),CPI(M),LDF,483,2015
Kottayam,Grama Panchayat,G05019,Aymanam,7,HIGH SCHOOL WARD,JAYAKUMAR (ANI KOTTAYIL),BJP,BJP+,499,2015
Kottayam,Grama Panchayat,G05019,Aymanam,12,ILAMKAVU,RAJI,BJP,BJP+,498,2015
Kottayam,Grama Panchayat,G05019,Aymanam,6,IRAVEESWARAM,BINDU (BINDU HARIKUMAR),BJP,BJP+,573,2015
Kottayam,Grama Panchayat,G05019,Aymanam,5,JAYANTHI,SALY (SALY JAYACHANDRAN),CPI(M),LDF,510,2015
Kottayam,Grama Panchayat,G05019,Aymanam,14,KALLUMADA,MINIMOL (MINIMOL MANOJ),CPI,LDF,480,2015
Kottayam,Grama Panchayat,G05019,Aymanam,3,KALLUNKATHRA,CHINNAMMA,INC,UDF,313,2015
Kottayam,Grama Panchayat,G05019,Aymanam,1,KAREEMADOM,SUJITHA (SUJITHA SANUMON),IND,OTH,400,2015
Kottayam,Grama Panchayat,G05019,Aymanam,8,KUDAMALOOR,SEBASTIAN (KUDAMALOOR SEBASTIAN),IND,OTH,348,2015
Kottayam,Grama Panchayat,G05019,Aymanam,15,KUZHITHAR,DEVAKI K (DEVAKI TEACHER),BJP,BJP+,391,2015
Kottayam,Grama Panchayat,G05019,Aymanam,11,MARYATHURUTHU,ANEESH KUMAR,KCM,UDF,330,2015
Kottayam,Grama Panchayat,G05019,Aymanam,17,OLASSA  PALLIKKAVALA,WILLIAM KUMAR,IND,OTH,245,2015
Kottayam,Grama Panchayat,G05019,Aymanam,16,OLASSA HS,BABY (BABY SIR),IND,OTH,465,2015
Kottayam,Grama Panchayat,G05019,Aymanam,10,PANDAVAM,ULLASAN (O G ULLASAN ),CPI(M),LDF,301,2015
Kottayam,Grama Panchayat,G05019,Aymanam,18,PARIPPU,AJITHA KUMARI (AJITHA THANKAPPAN),CPI(M),LDF,460,2015
Kottayam,Grama Panchayat,G05019,Aymanam,4,PULIKKUTTISSERY,VIJI RAJESH,CPI(M),LDF,421,2015
Kottayam,Grama Panchayat,G05019,Aymanam,2,VALLYAD,ALICHAN (A K ALICHAN),CPI(M),LDF,437,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,3,ALAMATTOM,MOLY BABY KIZHAKEAPARAMBIL,INC,UDF,365,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,13,ALANADU,VINOD CHERIYAN VERANANICKAL,IND,OTH,478,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,8,ARAVAKKULAM,ALPHONSA JOSE VETTICKAL,INC,UDF,400,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,10,AREEPPARA,TREESA SEBASTIAN ,INC,UDF,390,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,7,BHARANANGANAM,MATHEWKUTTY MATHEW BABYCHEANPARUTHUVETIL,INC,UDF,224,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,6,CHOONDACHERRY,JOSEPH SEBASTIAN PINACKATTU,IND,OTH,388,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,9,EDAPPADY,BEENA SAJI VALLIYAMTHADATHIL,KCM,UDF,387,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,12,ELAMTHOTTAM,VALSAMMA JOHN KALATHIL,IND,OTH,419,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,5,KANJIRAMATTOM,SAROJINI RAJAPPAN KALLICKAL,INC,UDF,357,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,4,KAYYOOR,C.R. NARAYANAN NAIR CHOORAMALA ,INC,UDF,298,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,11,PAMPOORAMPARA,ANUMOL MATHEW (ANU BABU THOMAS),IND,OTH,307,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,1,PRAVITHANAM,JESSY JOSE PALATHUMTHALACKAL,IND,OTH,398,2015
Kottayam,Grama Panchayat,G05028,Bharananganam,2,ULLANADU,SABU A. THOMAS AVUSEPPUPARAMBIL,KCM,UDF,404,2015
Kottayam,Grama Panchayat,G05002,Chempu,6,BRAHMA MANGALAM,REJI MECHERI,INC,UDF,340,2015
Kottayam,Grama Panchayat,G05002,Chempu,7,CHALUNKAL,VENUGOPAL,CPI(M),LDF,292,2015
Kottayam,Grama Panchayat,G05002,Chempu,11,CHEMPU  POST OFFICE,K K RAMESAN,CPI(M),LDF,562,2015
Kottayam,Grama Panchayat,G05002,Chempu,12,CHEMPU TOWN,PREMADASAN,CPI,LDF,438,2015
Kottayam,Grama Panchayat,G05002,Chempu,4,DR. AMBEDKAR,K R CHITHRALEKHA,CPI,LDF,414,2015
Kottayam,Grama Panchayat,G05002,Chempu,3,ELIAMMEL,SEENA BIJU,CPI(M),LDF,406,2015
Kottayam,Grama Panchayat,G05002,Chempu,9,ENADI,LATHA BAIJU,CPI(M),LDF,359,2015
Kottayam,Grama Panchayat,G05002,Chempu,5,KALLUKUTHAN KADAVU,ADV. G SHEEBA,CPI(M),LDF,358,2015
Kottayam,Grama Panchayat,G05002,Chempu,1,KATTIKUNNU,RASHEED MANGADAN,INC,UDF,571,2015
Kottayam,Grama Panchayat,G05002,Chempu,15,MAHATMA GANDHI,SMITHA PRINCE,INC,UDF,302,2015
Kottayam,Grama Panchayat,G05002,Chempu,14,MURINJAPUZHA,LATHA ASHOKAN,CPI(M),LDF,625,2015
Kottayam,Grama Panchayat,G05002,Chempu,2,PANACKAL,RAMLATH SALIM,IUML,UDF,370,2015
Kottayam,Grama Panchayat,G05002,Chempu,8,PARAPPURAM,ASHA BABU,IND,OTH,377,2015
Kottayam,Grama Panchayat,G05002,Chempu,10,THURUTHUMA,M K SANILKUMAR,CPI,LDF,488,2015
Kottayam,Grama Panchayat,G05002,Chempu,13,VIJAYODAYAM,LEKHA SURESH,CPI(M),LDF,489,2015
Kottayam,Grama Panchayat,G05056,Chirakkadavu,1,ATTICKKAL,MOLLYKUTTY  THOMAS,KCM,UDF,493,2015
Kottayam,Grama Panchayat,G05056,Chirakkadavu,15,CHENNAKKUNNU,VYSHAKH  S. NAIR,BJP,BJP+,467,2015
Kottayam,Grama Panchayat,G05056,Chirakkadavu,11,CHERUVALLY,JAYASREE,CPI,LDF,511,2015
Kottayam,Grama Panchayat,G05056,Chirakkadavu,17,CHIRAKKADAVU CENTER,B. RAVEENDRAN NAIR,CPI(M),LDF,585,2015
Kottayam,Grama Panchayat,G05056,Chirakkadavu,4,CHITHRANJALI, ADV.  GIREESH S. NAIR,CPI(M),LDF,579,2015
Kottayam,Grama Panchayat,G05056,Chirakkadavu,9,EDABHAGOM,PRAJITH P.,CPI,LDF,589,2015
Kottayam,Grama Panchayat,G05056,Chirakkadavu,6,GRAMADEEPAM,SUBITHA  BINOY,BJP,BJP+,612,2015
Kottayam,Grama Panchayat,G05056,Chirakkadavu,20,KADUKKAMALA,SMITHA LAL,KCM,UDF,461,2015
