District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,1,NALLOORPPADAVU,മോളിക്കുട്ടി,KC(M)PJJ,UDF,300,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,2,VALLIYAKULAM,തോമസ് മാത്യു (എബി ),KC(M)PJJ,UDF,516,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,3,ANIKKADU,പ്രേംസി സി സി,CPI(M),LDF,423,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,4,NOOROMMAVU,പ്രമീള വസന്ത് മാത്യു (റാണി),INC,UDF,340,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,5,PUNNAVELI,ശാലിനി സി എസ്,IND,OTH,287,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,6,KURUNNAMVELI,ലിന്‍സിമോള്‍ തോമസ്,INC,UDF,216,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,7,VAIPUR,അഡ്വ .സുജ. എച്ച്,BJP,NDA,392,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,8,VADAKKEMURI,വിജയക്ഷ്മി,BJP,NDA,314,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,9,PULIKKAMALA,ലിയാക്കത്ത് അലിക്കുഞ്ഞ്,INC,UDF,285,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,10,PULLUKUTHI,ദേവദാസ് മണ്ണൂരാന്‍,INC,UDF,225,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,11,POOVANPARA,ഡെയ്സി,CPI,LDF,286,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,12,PATHIKKADU,സൂസന്‍ ഡാനിയേല്‍(ബീന ജോജി ),KC(M)PJJ,UDF,292,2020
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,13,MARRICKAL,മാത്യൂസ്(അജി),CPI(M),LDF,434,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,1,ARATTUPUZHA,സിന്ധു ഏബ്രഹാം,INC,UDF,281,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,2,MALAKKARA,എൻ.എസ്. കുമാർ (മക്കാന്‍),INC,UDF,501,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,3,KOTTAKKAKAM,ജോസ്  (ജോണ്‍സി നെടിയകാല),INC,UDF,225,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,4,EDAYARANMULA,ജയ  വേണുഗോപാല്‍,BJP,NDA,509,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,5,KALARIKODE,രമാദേവി,INC,UDF,769,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,6,ARANMULA WEST,പ്രസാദ് വേരുങ്കല്‍,CPI,LDF,691,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,7,ARANMULA KIZHAKKU,ശിവന്‍ രാഗമാലിക,INC,UDF,589,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,8,NALKKALICKAL,ദീപാ നായര്‍,INC,UDF,546,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,9,KIDANGANOOR,മത്തായി ( സണ്ണി),INC,UDF,387,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,10,MANAPPALLY,ഷീജ റ്റി.റ്റോജി,INC,UDF,387,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,11,GURUKKAN KUNNU,വില്‍സി ബാബു,CPI(M),LDF,307,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,12,ERUMAKKAD,പി.ഡി.മോഹനന്‍,CPI(M),LDF,423,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,13,VALLANA,ശരണ്‍ പി ശശിധരന്‍,INC,UDF,353,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,14,KOTTA KIZHAKKU,രേഖ പ്രദീപ്,BJP,NDA,403,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,15,KOTTA PADINJARU,ഉഷ രാജേന്ദ്രന്‍,INC,UDF,483,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,16,KURICHIMUTTAM THEKKU,ബിജു വര്‍ണ്ണശാല,CPI(M),LDF,563,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,17,KURICHIMUTTAM VADAKKU,ശ്രീനി ചാണ്ടിശ്ശേരി,CPI(M),LDF,491,2020
Pathanamthitta,Grama Panchayat,G03046,Aranmula,18,NEERVILAKAM,ഷീജ പ്രമോദ്,BJP,NDA,742,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,1,MULAKUKODI THOTTAM,മണിയമ്മ രാമചന്ദ്രന്‍ നായര്‍,CPI,LDF,540,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,2,KUMMANNOOR,ഷീബ സുദീര്‍,CPI(M),LDF,381,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,3,KOKKATHODU,വി. കെ .രഘു,CPI(M),LDF,526,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,4,NELLICKAPPARA,ജോജു വർഗീസ്,CPI(M),LDF,406,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,5,KALLELI THOTTAM,സിന്ധു പി,CPI(M),LDF,405,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,6,KALLELI,മിനി ഇടിക്കുള,INC,UDF,320,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,7,MUTHUPEZHUMKAL,സന്തോഷ് റ്റി ഡി,IND,OTH,347,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,8,ATHIRUMKAL,അമ്പിളി സുരേഷ്,INC,UDF,525,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,9,MLAMTHADAM,ശ്രീലത,CPI(M),LDF,412,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,10,PADAPPACKAL,ബാബു എസ്,IND,OTH,316,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,11,OOTTAPARA,രേഷ്മ മറിയം റോയി,CPI(M),LDF,450,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,12,PULINCHANI,ബിന്ദു  സി എന്‍,CPI(M),LDF,448,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,13,ARUVAPPULAM,സ്മിത സന്തോഷ്,INC,UDF,423,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,14,MAVANAL,ജി . ശ്രീകുമാര്‍,INC,UDF,609,2020
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,15,AYRAVON,ശ്രീകുമാര്‍,CPI(M),LDF,486,2020
