District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Kannur,Grama Panchayat,G13017,Alakode,1,CHERUPARA,ഐസക്ക് മുണ്ടിയാങ്കൽ,INC,UDF,727,2025
Kannur,Grama Panchayat,G13017,Alakode,2,KOODAPRAM,ലിജി മാത്യു,INC,UDF,571,2025
Kannur,Grama Panchayat,G13017,Alakode,3,CHITTADI,പ്രിയ ഷാജി,CPI(M),LDF,782,2025
Kannur,Grama Panchayat,G13017,Alakode,4,THERTHALLY,വല്‍സമ്മ വാണിശ്ശേരിയിൽ,INC,UDF,553,2025
Kannur,Grama Panchayat,G13017,Alakode,5,RAYAROME,റിമോൾ വിജു,INC,UDF,628,2025
Kannur,Grama Panchayat,G13017,Alakode,6,MOONNAMKUNNU,പി എം റംഷീന ടീച്ചർ,IUML,UDF,729,2025
Kannur,Grama Panchayat,G13017,Alakode,7,NEDUVODE,ആയിഷ പി സി,IUML,UDF,711,2025
Kannur,Grama Panchayat,G13017,Alakode,8,PARAPPA,കെ.വി. കുഞ്ഞമ്പു,IND,OTH,623,2025
Kannur,Grama Panchayat,G13017,Alakode,9,KUTTAPARAMBU,സോളി ജിമ്മി,CPI,LDF,449,2025
Kannur,Grama Panchayat,G13017,Alakode,10,ARANGAM,സതി സജി,CPI(M),LDF,702,2025
Kannur,Grama Panchayat,G13017,Alakode,11,ALAKODE,സി.ജി. ഗോപൻ,BJP,NDA,431,2025
Kannur,Grama Panchayat,G13017,Alakode,12,OTTATHAI,സുനോജ് പാറേക്കാട്ടിൽ,INC,UDF,537,2025
Kannur,Grama Panchayat,G13017,Alakode,13,KAPPIMALA,ജോസഫ് (കുഞ്ഞേട്ടൻ),INC,UDF,419,2025
Kannur,Grama Panchayat,G13017,Alakode,14,NELLIKUNNU,ബുഷ്റ യു എം,INC,UDF,601,2025
Kannur,Grama Panchayat,G13017,Alakode,15,KAVUMKUDI,വര്‍ക്കി മൂഴിയാങ്കൽ,INC,UDF,552,2025
Kannur,Grama Panchayat,G13017,Alakode,16,NARIYAMAPARA,ജോണ്‍സൺ ചിറവയൽ,INC,UDF,590,2025
Kannur,Grama Panchayat,G13017,Alakode,17,KOOLAMBI,പി.കെ. ബാലൻ,CPI(M),LDF,585,2025
Kannur,Grama Panchayat,G13017,Alakode,18,KOTTAYAD,മാര്‍ട്ടിൻ തോണിപ്പാറ,INC,UDF,489,2025
Kannur,Grama Panchayat,G13017,Alakode,19,NELLIPARA,പ്രിൻസി ബോബി ജോർജ്,INC,UDF,640,2025
Kannur,Grama Panchayat,G13017,Alakode,20,MARYGIRI,ലൂസ്സി സാബു,INC,UDF,602,2025
Kannur,Grama Panchayat,G13017,Alakode,21,THIMIRI,പി.വി. ബാബുരാജ്,CPI(M),LDF,780,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,1,MUZHAPPALA,ടി . മഹേഷ്,INC,UDF,609,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,2,NARIKKODE,മധുസൂദനൻ . പി. വി,INC,UDF,479,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,3,PARAMBUKKARI,രമ്യ .എ,CPI(M),LDF,519,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,4,KANNADIVELICHAM,ശ്രീജമോൾ . പി,CPI(M),LDF,619,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,5,ALAKKAL,എം. പി. അജയകുമാർ,CPI(M),LDF,495,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,6,MURINGERI,കെ   റീജ,CPI(M),LDF,507,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,7,KUZHIMBALODE,എം . രമേശൻ,CPI(M),LDF,463,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,8,EKKAL,സീന .പി. കെ,CPI(M),LDF,450,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,9,KAMETH,മനീഷ് .എം,CPI(M),LDF,540,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,10,PALAYAM,ബുഷ്റ.ഒ.വി,IUML,UDF,695,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,11,PALERI,ഇ. മെറീന ടീച്ചർ,CPI(M),LDF,609,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,12,KAVINMOOLA,പി .പി. പ്രസീത,CPI(M),LDF,488,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,13,ODATHIL PEEDIKA,വി . സജിത,CPI,LDF,625,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,14,UCHULIKKUNNU,പി . ചന്ദ്രൻ,CPI(M),LDF,482,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,15,NALAMPEEDIKA,മോഹനൻ പാച്ചേരി,INC,UDF,518,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,16,CHAKKARAKKAL,പി  . ഷൈമ,INC,UDF,498,2025
Kannur,Grama Panchayat,G13054,Ancharakandy,17,ANENIMETTA,വത്സല .വി .വി,INC,UDF,458,2025
Kannur,Grama Panchayat,G13068,Aralam,1,EDOOR,ശോഭ വി,INC,UDF,748,2025
Kannur,Grama Panchayat,G13068,Aralam,2,MANCHUVAD,ആശ കാപ്പുങ്കൽ,INC,UDF,526,2025
Kannur,Grama Panchayat,G13068,Aralam,3,KUNDUMANGOD,ജോര്‍ജ് എ കെ ആലാംപള്ളി,INC,UDF,507,2025
Kannur,Grama Panchayat,G13068,Aralam,4,CHATHIROOR,റെയ്ഹാനത്ത് (സുബി),IUML,UDF,948,2025
Kannur,Grama Panchayat,G13068,Aralam,5,VIYATNAM,ഷഹീർ മാസ്റ്റർ,IUML,UDF,343,2025
Kannur,Grama Panchayat,G13068,Aralam,6,KOTTAPPARA,സുജാത എ കെ,CPI(M),LDF,248,2025
Kannur,Grama Panchayat,G13068,Aralam,7,ARALAM FARM,സബിത കെ കെ,CPI(M),LDF,480,2025
Kannur,Grama Panchayat,G13068,Aralam,8,KEEZHPALLY,വത്സ ജോസ് പുത്തന്‍പുരയ്ക്കൽ,INC,UDF,815,2025
Kannur,Grama Panchayat,G13068,Aralam,9,EDAVELI,രാജീവൻ,CPI(M),LDF,424,2025
Kannur,Grama Panchayat,G13068,Aralam,10,VELIMANAM,ജിമ്മി മാത്യു അന്തീനാട്ട്,INC,UDF,770,2025
Kannur,Grama Panchayat,G13068,Aralam,11,AMBALAKKANDY,പവിത്രൻ മാസ്റ്റർ,CPI(M),LDF,512,2025
Kannur,Grama Panchayat,G13068,Aralam,12,VEERPAD,വസന്ത മോഹനൻ,INC,UDF,479,2025
Kannur,Grama Panchayat,G13068,Aralam,13,URUPPUMKUNDU,റോസമ്മ ടീച്ചർ,INC,UDF,495,2025
Kannur,Grama Panchayat,G13068,Aralam,14,KALLARA,സുധിന പി എം,INC,UDF,648,2025
Kannur,Grama Panchayat,G13068,Aralam,15,CHEDIKKULAM,ശിഹാബുദ്ദീൻ,CPI(M),LDF,552,2025
Kannur,Grama Panchayat,G13068,Aralam,16,PERUMPAZHASSI,സുമ ദിനേശൻ,CPI(M),LDF,467,2025
Kannur,Grama Panchayat,G13068,Aralam,17,ARALAM,രജിത മാവില,INC,UDF,854,2025
