District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,1,NALLOORPPADAVU,വിജയകുമാര്‍ റ്റി. സി (വിജയൻ),KC,UDF,286,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,2,VALLIYAKULAM,മോളിക്കുട്ടി സിബി,KC,UDF,316,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,3,ANIKKADU,ദേവദാസ് മണ്ണൂരാൻ,INC,UDF,283,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,4,NOOROMMAVU,ഏബ്രഹാം പി.റ്റി (രാജൻ),INC,UDF,347,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,5,CHAKKATTUPADI,പ്രമീള,INC,UDF,416,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,6,PUNNAVELY,ജോണ്‍സ് റജി (കുഞ്ഞുസാർ),IND,OTH,284,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,7,CHAKKALAKKUNNU,ജോസഫ്,INC,UDF,404,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,8,VAIPUR,സുജ  എച്ച്,BJP,NDA,402,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,9,VADAKKEMURI,വിജയലക്ഷ്മി,BJP,NDA,261,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,10,PULLUKUTHI,ജിനോ,INC,UDF,248,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,11,MUTTATHUMAVU,ബിജു,INC,UDF,224,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,12,POOVANPARA,ഡെയ്സി (ബിൻസി),CPI,LDF,250,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,13,PATHIKKADU,തോമസ് (എബി),KC,UDF,227,2025
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,14,MARICKAL,ശോഭനാകുമാരി സി.വി,CPI(M),LDF,330,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,1,ARATTUPUZHA,ഷാജി ചാക്കോ,INC,UDF,398,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,2,MALAKKARA,തുളസി രാധ,INC,UDF,379,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,3,EDAYARANMULA NORTH,അനിയൻ,BJP,NDA,437,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,4,KOTTAKKAKAM,ദേവിരമേശ്,INC,UDF,360,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,5,KALARIKODE,രതീഷ് പി എസ്,CPI(M),LDF,385,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,6,ARANMULA WEST,ഉഷ കെ കെ,INC,UDF,364,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,7,ARANMULA,ഉഷാ ആർ നായർ,BJP,NDA,411,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,8,EDASSERIMALA,രാധാകൃഷ്ണ പ്രസാദ് (പ്രസാദ് വേരുങ്കൽ),CPI,LDF,533,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,9,NALKKALICKAL,ഉണ്ണികൃഷ്ണന്‍ നായർ എം പി,CPI(M),LDF,466,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,10,KIDANGANNOOR EAST,ആലീസ് ശാമുവേൽ,INC,UDF,423,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,11,KIDANGANNOOR WEST,ജേക്കബ് റ്റി തോമസ്,INC,UDF,463,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,12,GURUKKANKUNNU,ദീപാ നായർ,INC,UDF,404,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,13,ERUMAKKAD,ശോഭന വി എ,INC,UDF,452,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,14,VALLANA,നീനാ സനീഷ്,CPI(M),LDF,371,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,15,KOTTA EAST,രേഖാ പ്രദീപ്,BJP,NDA,363,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,16,KOTTA WEST,രഞ്ജിത്ത് എം നായർ (കൊച്ചുമോൻ),BJP,NDA,435,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,17,KURICHIMUTTAM SOUTH,ശ്രീനി ചാണ്ടിശ്ശേരി,CPI(M),LDF,397,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,18,KURICHIMUTTAM NORTH,സോമവല്ലി ദിവാകരൻ,CPI(M),LDF,377,2025
Pathanamthitta,Grama Panchayat,G03046,Aranmula,19,NEERVILAKAM,ആർ വസന്ത്,BJP,NDA,790,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,1,MEDICAL COLLEGE,സുമ വര്‍ഗീസ്,INC,UDF,405,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,2,KUMMANNOOR,ഷീബാ സുധീർ,CPI(M),LDF,380,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,3,KOKKATHODU,ഷീബ കെ പി,INC,UDF,386,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,4,NELLICKAPPARA,രേഷ്മ ബി,INC,UDF,341,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,5,KALLELI THOTTAM,ധനേഷ് ഗോപാൽ,CPI(M),LDF,286,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,6,KALLELI,സി .വി. ശാന്തകുമാർ,INC,UDF,444,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,7,MUTHUPEZHUMKAL,കെ. പി. തോമസ്,KC,UDF,365,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,8,ATHIRUMKAL,എൻ. ബിമല്‍കുമാർ,IND,OTH,343,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,9,MLAMTHADAM,ശ്രീലത,CPI(M),LDF,389,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,10,PADAPPACKAL,ദേവസേന എല്‍ എസ്,BJP,NDA,261,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,11,OOTTAPARA,മധു സി.എസ്സ്,CPI(M),LDF,337,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,12,PULINCHANI,ജി. ശ്രീകുമാർ,INC,UDF,315,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,13,ARUVAPPULAM,സ്മിത സന്തോഷ്,INC,UDF,561,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,14,MAVANAL,മിനി  വിനോദ്,INC,UDF,457,2025
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,15,AYRAVON,ശ്യാമാകൃഷ്ണ കെ,BJP,NDA,412,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,1,ITTIYAPPARA,മഞ്ജുഷ റ്റി. സി.,BJP,NDA,228,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,2,KADAYAR,സന്തോഷ് ജോസഫ് (സന്തോഷ് കൊച്ചുപറമ്പിൽ),INC,UDF,516,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,3,VELLIYARA,സുജാത,BJP,NDA,324,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,4,PANNIKUNNU,ബോബന്‍ റ്റി.ചാണ്ടി (ബോബൻ താഴമണ്‍),INC,UDF,306,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,5,PODIPPARA,അബിനു മത്തായി (അപ്പു മഴവഞ്ചേരിൽ),INC,UDF,457,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,6,PLANKAMON,സാംകുട്ടി അയ്യക്കാവിൽ,IND,OTH,470,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,7,PEROORCHAL,സുലേഖ ചന്ദ്രശേഖരൻ,BJP,NDA,466,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,8,EDAPPAVOOR,അജയ് ഗോപിനാഥ്,BJP,NDA,451,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,9,KAITHAKKODI,സ്മിത സോമശേഖരൻ,BJP,NDA,643,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,10,KOTTATHOOR,രേണുക  സജികുമാർ,BJP,NDA,337,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,11,NJUZHUOOR,ലിസി സാമുവൽ,IND,OTH,295,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,12,AYIROOR,അമ്പിളി പ്രഭാകരന്‍നായർ,CPI(M),LDF,405,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,13,CHERUKOLPUZHA,പ്രീതാ ബി. നായർ (പ്രീത ടീച്ചർ),INC,UDF,406,2025
Pathanamthitta,Grama Panchayat,G03013,Ayiroor,14,PUTHEZHAM,അനിത കുറുപ്പ്,CPI(M),LDF,287,2025
