District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Wayanad,Grama Panchayat,G12010,Ambalavayal,1,KARACHAL,നിഷ,INC,UDF,532,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,2,KUMBALERY,പി.യു.ജോസ്,INC,UDF,604,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,3,AAYIRAMKOLLI,ഷഫീക്.പി,INC,UDF,474,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,4,KUPPAMUDI,എൻ.കെ.ശ്രീധരൻ,CPI(M),LDF,413,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,5,EECHAMANIKUNNU,സുനിത ശിവരാമൻ,CPI(M),LDF,463,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,6,AMBALAVAYAL TOWN,സിന്ധു. റ്റി. റ്റി,INC,UDF,544,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,7,KUTTIKAITHA,റജില ഷാഫി,INC,UDF,533,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,8,NEERCHAL,സുരേഷ്,IUML,UDF,624,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,9,ANDOOR,റംല സുലൈമാൻ,INC,UDF,483,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,10,PAMBALA,ജിന്‍സി,INC,UDF,517,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,11,ONNEYAR,അശോക് .വി.കെ,BJP,NDA,438,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,12,KOTOOR,ശ്രീകല,CPI(M),LDF,494,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,13,KAMBALAKOLLY,ബീന. എ .എച്ച്,IUML,UDF,368,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,14,THOMATTUCHAL,കമല മോഹനൻ,CPI(M),LDF,527,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,15,CHEENAPPULLU,എൻ.സി.കൃഷ്ണകുമാർ,INC,UDF,373,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,16,PERUMBADIKUNNU,പി.എം.സുരേന്ദ്രൻ,CPI(M),LDF,641,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,17,PUTTAD,ജിന്‍സി.എം,INC,UDF,484,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,18,NELLARACHAL,ആമിന,INC,UDF,454,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,19,CHEENGAVALLAM,കെ.കെ.ബാബു,INC,UDF,490,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,20,MANJAPPARA,ജോസ്,INC,UDF,555,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,21,KALATHUVAYAL,എ.ആർ.മോഹനൻ,INC,UDF,527,2025
Wayanad,Grama Panchayat,G12010,Ambalavayal,22,POTHUKETTY,സിജി എല്‍ദോസ്,INC,UDF,548,2025
Wayanad,Grama Panchayat,G12005,Edavaka,1,ORAPPU,വത്സ ജോസ്,INC,UDF,499,2025
Wayanad,Grama Panchayat,G12005,Edavaka,2,ELLUMANNAM,ഗോള്‍ഡ  ഷിനോജ്,CPI(M),LDF,449,2025
Wayanad,Grama Panchayat,G12005,Edavaka,3,VEETTICHAL,ജംസീറ ശിഹാബ്,IUML,UDF,669,2025
Wayanad,Grama Panchayat,G12005,Edavaka,4,OZHAKODI,ഗിരിജ സുധാകരൻ,INC,UDF,509,2025
Wayanad,Grama Panchayat,G12005,Edavaka,5,PANDIKADAVU,മുസ്തഫ തയ്യുള്ളതിൽ,IUML,UDF,574,2025
Wayanad,Grama Panchayat,G12005,Edavaka,6,CHAMADIPOYIL,അസ്മില ആയങ്കി,IUML,UDF,474,2025
Wayanad,Grama Panchayat,G12005,Edavaka,7,PAINGATTIRI,ലത്തീഫ് നടുക്കണ്ടി,IUML,UDF,558,2025
Wayanad,Grama Panchayat,G12005,Edavaka,8,PAYODE,വിനോദ് തോട്ടത്തിൽ,INC,UDF,550,2025
Wayanad,Grama Panchayat,G12005,Edavaka,9,THONICHAL,അംബുജാക്ഷി,CPI(M),LDF,354,2025
Wayanad,Grama Panchayat,G12005,Edavaka,10,CHERUVAYAL,ചെറുവയൽ രമേശൻ,CPI(M),LDF,561,2025
Wayanad,Grama Panchayat,G12005,Edavaka,11,KAMMANA,ദീപാ ദേവി,CPI(M),LDF,502,2025
Wayanad,Grama Panchayat,G12005,Edavaka,12,PULIKKAD,ജെസി വർഗീസ്,INC,UDF,564,2025
Wayanad,Grama Panchayat,G12005,Edavaka,13,DWARAKA,സെറീന ടീച്ചർ,IUML,UDF,501,2025
Wayanad,Grama Panchayat,G12005,Edavaka,14,PEECHANKODE,സുബൈദ തോക്കൻ,IUML,UDF,695,2025
Wayanad,Grama Panchayat,G12005,Edavaka,15,KUNNAMANGALAM,കോക്കണ്ടത്തിൽ  ഷിൽസൺ മാത്യു,INC,UDF,637,2025
Wayanad,Grama Panchayat,G12005,Edavaka,16,PUTHIYIDAMKUNNU,മുരളീധരൻ,CPI(M),LDF,433,2025
Wayanad,Grama Panchayat,G12005,Edavaka,17,PALAMUKKU,എം പി വത്സൻ,CPI(M),LDF,454,2025
Wayanad,Grama Panchayat,G12005,Edavaka,18,PALLIKKAL,ഹർഷിത ബാരിക്കൽ,IUML,UDF,574,2025
Wayanad,Grama Panchayat,G12005,Edavaka,19,KALLODI,ലീല ബാലൻ,INC,UDF,470,2025
Wayanad,Grama Panchayat,G12005,Edavaka,20,AYILAMOOLA,ജോര്‍ജ്ജ് പടകൂട്ടിൽ,INC,UDF,613,2025
Wayanad,Grama Panchayat,G12005,Edavaka,21,VALERI,ജയപ്രകാശ് എം കെ,INC,UDF,435,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,1,NELLIYAMBAM,സുചിത്ര എം.കെ,IUML,UDF,520,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,2,KAVADAM,ജമീല ഹുസൈൻ,IND,OTH,441,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,3,NADAVAYAL,വിജയൻ എം പാടിക്കുന്ന്,INC,UDF,339,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,4,KOLLIVAYAL,സി. സുരേഷ്ബാബു,INC,UDF,632,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,5,CHEENGADI,ഓമന കാനഞ്ചേരി,INC,UDF,372,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,6,CHITHRAMOOLA,മറിയം നസീമ,IUML,UDF,451,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,7,VARADOOR,എ. എൻ. സുരേഷ്,CPI(M),LDF,529,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,8,PADARIKKUNNU,നയന മോൾ ബിജു,INC,UDF,517,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,9,ARIMULA,രോഷ്മ രമേഷ്,INC,UDF,492,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,10,KARANI,ഷീബ തുളസീധരൻ,CPI(M),LDF,549,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,11,PARALIKKUNNU,ഷാജഹാൻ ഇരുമ്പുംതറ,IUML,UDF,469,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,12,KAMBLAKKAD,ആസ്യ അസീസ്,IUML,UDF,743,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,13,ARIVARAM,മുഹമ്മദ് ഇക്‌ബാൽ (കെ. എം ഫൈസൽ),IUML,UDF,502,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,14,KOZHINJANGADU,യൂസഫ്,IUML,UDF,658,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,15,PALLIMUKKU,നബീസ ജാഫർ (കുഞ്ഞി),IUML,UDF,645,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,16,MULAPARAMBATH,മൊയ്തുട്ടി കാവുങ്ങൽ,IUML,UDF,536,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,17,CHUNDAKKARA,സി. ജെ. ടോമി,INC,UDF,491,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,18,KANIYAMBETTA,സജ്‌ന   ടീച്ചർ,IUML,UDF,812,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,19,PACHILAKKADU,അബ്ബാസ് പുന്നോളി,IUML,UDF,803,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,20,MILLUMUKKU,ടി. മണി കൂടോത്തുമ്മൽ,IUML,UDF,527,2025
Wayanad,Grama Panchayat,G12022,Kaniyambetta,21,CHEEKKALLOOR,പ്രീജ സുരേഷ്,BJP,NDA,332,2025
Wayanad,Grama Panchayat,G12018,Kottathara,1,VENNIYODE,ബിന്ദു ടീച്ചർ,CPI(M),LDF,394,2025
Wayanad,Grama Panchayat,G12018,Kottathara,2,MAILADY,അജീഷ്. ഇ സി,IND,OTH,428,2025
Wayanad,Grama Panchayat,G12018,Kottathara,3,CHEERAKATH,ജോണ്‍സി സജി,CPI(M),LDF,440,2025
Wayanad,Grama Panchayat,G12018,Kottathara,4,VANDIYAMBETTA,സജീഷ്​​ കുമാർ. സി എൻ,BJP,NDA,346,2025
Wayanad,Grama Panchayat,G12018,Kottathara,5,ANERI,സനിലേഷ്,IND,OTH,382,2025
Wayanad,Grama Panchayat,G12018,Kottathara,6,KARIMKUTTY,രനീഷ്. പി പി,INC,UDF,359,2025
Wayanad,Grama Panchayat,G12018,Kottathara,7,KOTTATHARA,രജിത. സി സി,INC,UDF,378,2025
Wayanad,Grama Panchayat,G12018,Kottathara,8,JUBILEE,ഇ ആർ പുഷ്പ,IUML,UDF,615,2025
Wayanad,Grama Panchayat,G12018,Kottathara,9,KUNNATHAIKKUNNU,എലിസബത്ത് (മഞ്ജു),CPI(M),LDF,388,2025
Wayanad,Grama Panchayat,G12018,Kottathara,10,SCHOOLKUNNU,റംല അസീസ്,IUML,UDF,505,2025
Wayanad,Grama Panchayat,G12018,Kottathara,11,MADAKKUNNU,ലീലാമ്മ,CPI(M),LDF,432,2025
Wayanad,Grama Panchayat,G12018,Kottathara,12,VALAL,ജസ്റ്റിന്‍ സിറിയക്ക്,INC,UDF,450,2025
Wayanad,Grama Panchayat,G12018,Kottathara,13,KUZHIVAYAL,വി ആർ. ബാലൻ,IND,OTH,363,2025
Wayanad,Grama Panchayat,G12018,Kottathara,14,MECHANA,പി കെ. ജോൺ,INC,UDF,541,2025
Wayanad,Grama Panchayat,G12011,Meenangadi,1,CHOOTHUPARA,പി കെ സജീവ്,CPI(M),LDF,590,2025
Wayanad,Grama Panchayat,G12011,Meenangadi,2,APPAD,സുരേഷ്,CPI(M),LDF,520,2025
Wayanad,Grama Panchayat,G12011,Meenangadi,3,MYLAMBADI,ബിനു കെ ടി,CPI(M),LDF,633,2025
Wayanad,Grama Panchayat,G12011,Meenangadi,4,CC,ജിഷു സി സി,CPI(M),LDF,675,2025
Wayanad,Grama Panchayat,G12011,Meenangadi,5,AAVAYAL,സുമ,CPI(M),LDF,655,2025
Wayanad,Grama Panchayat,G12011,Meenangadi,6,KOLAGAPPARA,പൈതൽ,CPI(M),LDF,355,2025
Wayanad,Grama Panchayat,G12011,Meenangadi,7,RATTAKUNDU,ശ്രീജ സുരേഷ്,CPI(M),LDF,510,2025
